nome_carta,raridade,codigo_efeito,status_no_servidor
Lirenne Vorgues a Barda Elfa,epic,EPIC_031,🟢 CODIFICADA E CONECTADA NO MOTOR
Lisandro Vanderbaster,epic,EPIC_014,🟢 CODIFICADA E CONECTADA NO MOTOR
Lobisomen,epic,EPIC_021,🟢 CODIFICADA E CONECTADA NO MOTOR
Magnus de Kaedwen,epic,EPIC_010,🟢 CODIFICADA E CONECTADA NO MOTOR
Nargor o Elfo,epic,EPIC_026,🟢 CODIFICADA E CONECTADA NO MOTOR
Nevuloso,epic,EPIC_009,🟢 CODIFICADA E CONECTADA NO MOTOR
Penitente,epic,EPIC_015,🟢 CODIFICADA E CONECTADA NO MOTOR
Principe Alex,epic,EPIC_008,🟢 CODIFICADA E CONECTADA NO MOTOR
Principe Helel,epic,EPIC_022,🟢 CODIFICADA E CONECTADA NO MOTOR
Rosa de Myrkvid a Lâmia,epic,EPIC_029,🟢 CODIFICADA E CONECTADA NO MOTOR
Saskia,epic,EPIC_007,🟢 CODIFICADA E CONECTADA NO MOTOR
Scyla da Escola da Coruja,epic,EPIC_017,🟢 CODIFICADA E CONECTADA NO MOTOR
Ursulla Demetria Crest,epic,EPIC_002,🟢 CODIFICADA E CONECTADA NO MOTOR
Borch Três Gralhas,legendary,LEGENDARY_025,🟢 CODIFICADA E CONECTADA NO MOTOR
Arquespora,rare,RARE_008,🟢 CODIFICADA E CONECTADA NO MOTOR
Cerlinna a Alpor,rare,RARE_050,🟢 CODIFICADA E CONECTADA NO MOTOR
Feiticeira Selenne,rare,EXTRA_RARE_02,🟢 CODIFICADA E CONECTADA NO MOTOR
Qebehsenuef o elfo,rare,RARE_047,🟢 CODIFICADA E CONECTADA NO MOTOR
Thalorien o Elfo,rare,RARE_048,🟢 CODIFICADA E CONECTADA NO MOTOR
Varuss o Meio Elfo,rare,RARE_051,🟢 CODIFICADA E CONECTADA NO MOTOR
Afogador,common,COMMON_027,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Anabelle,common,COMMON_052,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Anna Strenger,common,COMMON_065,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Aparição Diurna,common,COMMON_007,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Aparição Noturna,common,COMMON_008,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Baltazar,common,COMMON_031,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Barghest,common,COMMON_019,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Barnabas o Mordomo,common,COMMON_060,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Barroso,common,COMMON_020,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Carniçal,common,COMMON_010,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Carniçal Atroz,common,COMMON_021,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Carpeado,common,COMMON_063,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Casimir Bassi,common,COMMON_042,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ciri criança,common,COMMON_059,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Corine,common,COMMON_050,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Cutelo,common,COMMON_024,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dilion Vorgues,common,COMMON_034,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dudu Biberveld,common,COMMON_039,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Elemental,common,COMMON_011,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Endriuga,common,COMMON_005,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Erinia,common,COMMON_004,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Eveline Gallo,common,COMMON_061,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Fada,common,COMMON_017,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feiticeira Mabel,common,COMMON_071,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Gaetan,common,COMMON_046,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Gargula,common,COMMON_014,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
General da Ordem,common,COMMON_032,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Gerd da Escola do Urso,common,COMMON_055,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Guillaume,common,COMMON_051,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Halmar de Skellige,common,COMMON_038,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Hattori o Elfo Ferreiro,common,COMMON_043,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ida Emean,common,COMMON_069,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Jarl de An Skellige,common,COMMON_037,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Joachim von Gratz-Vampiro,common,COMMON_054,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Keira Metz,common,COMMON_009,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kiyan – Bruxo da Escola do Gato,common,COMMON_049,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lobo,common,COMMON_028,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lugos Todo Roxo,common,COMMON_025,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Marlene de Trastamara,common,COMMON_064,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Mestre da Arena,common,COMMON_070,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Milton de Peyrac-Peyran,common,COMMON_044,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Morkvarg,common,COMMON_067,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Necroso,common,COMMON_016,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Nekker,common,COMMON_026,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Nenneke Sacerdotisa de Melitele,common,COMMON_062,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Pantera,common,COMMON_022,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Principe Adrian de Kaedwen,common,EXTRA_COM_01,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Puero,common,COMMON_015,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Rei dos Mendigos,common,COMMON_023,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Rei Henselt,common,COMMON_006,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Reynold Longmes,common,COMMON_035,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Shani,common,COMMON_018,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Síle de Tansarville,common,COMMON_045,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tamara Stranger,common,COMMON_036,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Thaler,common,COMMON_040,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tomira,common,COMMON_047,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Totem,common,COMMON_033,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Troll,common,COMMON_012,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Udalryk o Atormentado,common,COMMON_068,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Urso,common,COMMON_029,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vaca,common,COMMON_058,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vimme Vivaldi,common,COMMON_041,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vlodimir von Everec,common,COMMON_053,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Winkler Vosgad,common,COMMON_030,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Alquimista a Moira,epic,EPIC_049,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Anna Henrieta,epic,EPIC_053,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
AVALACH,epic,EPIC_035,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Beann'shie,epic,EPIC_048,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Caranthir,epic,EPIC_040,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Crach an Craite,epic,EPIC_058,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Emhyr van Emreis,epic,EPIC_055,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Eskel,epic,EPIC_039,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Essi Daven a Olhuda,epic,EPIC_047,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feitiçeira Fringilla,epic,EPIC_059,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Idaran de Ulivo o Mago,epic,EPIC_046,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Imlerith,epic,EPIC_038,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Iris Von Everec,epic,EPIC_054,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lucius da Escola do Gato,epic,EPIC_042,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lugubre o rei dos penitentes,epic,EPIC_043,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Morvim da Escola do Lince,epic,EPIC_041,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Noldorath o Elfo Navegador,epic,EPIC_044,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Philippa Eilhart,epic,EPIC_057,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Protego,epic,EPIC_034,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Razen de Tauren,epic,EXTRA_EPIC_01,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Rei Radovic,epic,EPIC_056,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Salazar o Mago,epic,EPIC_036,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Sibilante a Moira,epic,EPIC_050,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Stregobor o Mago,epic,EPIC_037,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Syanna Henrieta,epic,EPIC_052,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tecelã a Moira,epic,EPIC_051,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Teshar de Zangreb da Escola do Urso,epic,EPIC_045,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vespeon da Escola da Manticora,epic,EPIC_033,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Alzur de Maribor,legendary,LEGENDARY_011,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Arnaghad,legendary,LEGENDARY_008,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Auberon Muircetach,legendary,LEGENDARY_004,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Carla Demetia Crest,legendary,LEGENDARY_013,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Caseiro,legendary,LEGENDARY_018,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ciri,legendary,LEGENDARY_024,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Cosimo Malaspina o Mago,legendary,LEGENDARY_010,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dagon,legendary,LEGENDARY_034,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dandelion,legendary,LEGENDARY_017,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Deatlaff,legendary,LEGENDARY_001,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Deglan o Bruxo,legendary,LEGENDARY_031,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dragão Myrgtabrakke,legendary,LEGENDARY_038,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Eredin,legendary,LEGENDARY_005,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Erland de Larvik,legendary,LEGENDARY_007,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Falken,legendary,LEGENDARY_039,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Filavandrel,legendary,LEGENDARY_003,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Francesca Findabair,legendary,LEGENDARY_028,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Gaunter O'Dimm,legendary,LEGENDARY_027,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ge'els,legendary,LEGENDARY_002,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Geralt de Rivia,legendary,LEGENDARY_022,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
"Geralt de Rívia, O Lobo Branco",legendary,lead_01,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Gezras de Leyda,legendary,LEGENDARY_009,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kaen Glahel,legendary,LEGENDARY_029,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kagma o Herói de Mahakan,legendary,LEGENDARY_040,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kitsu,legendary,LEGENDARY_015,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lara Dorren,legendary,LEGENDARY_037,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Madoc o Primeiro Bruxo,legendary,LEGENDARY_035,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Princesa Lyra de Dol Blathanna,legendary,EXTRA_LEG_01,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Rainha Maeve de Lyria,legendary,lead_02,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Régis,legendary,LEGENDARY_020,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Senhora do Lago,legendary,LEGENDARY_016,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Shaw Okami o Mago,legendary,LEGENDARY_032,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Sheala de Tancarville,legendary,LEGENDARY_036,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Sonegado Ancião,legendary,LEGENDARY_030,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tetra Gilcrest,legendary,LEGENDARY_014,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tissaia,legendary,LEGENDARY_012,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Triss Merigold,legendary,LEGENDARY_023,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Verdum o Primeiro Monstro,legendary,LEGENDARY_006,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vesemir,legendary,LEGENDARY_021,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vilgefortz,legendary,LEGENDARY_033,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Von Everec,legendary,LEGENDARY_019,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Yennefer,legendary,LEGENDARY_026,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Alpor,rare,EXTRA_RARE_04,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Altair da Escola do Lobo,rare,EXTRA_RARE_01,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Amduat o Elfo,rare,RARE_042,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Aracnomorfo,rare,RARE_015,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Arella da Escola do Grifo,rare,EXTRA_RARE_03,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
ArqueGriffo,rare,RARE_045,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Barão Sanguinário,rare,RARE_005,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Bruxa Áquatica,rare,RARE_011,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Canoleta,rare,RARE_036,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Casa das Lágrimas,rare,RARE_030,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Centopéia Gigante,rare,RARE_017,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Cérbero da Caçada Selvagem,rare,RARE_012,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Cerys,rare,RARE_003,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ciclope,rare,RARE_020,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dama da Peste,rare,RARE_059,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dama de Ferro,rare,RARE_043,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Danvis Vampiro Coveiro,rare,RARE_038,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Darion da Escola do Gato,rare,EXTRA_RARE_07,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Demônio,rare,RARE_023,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Diana de Tauren,rare,RARE_027,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Dismas da Escola da Manticora,rare,EXTRA_RARE_08,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
DROGODAR,rare,RARE_002,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Enel Ducat - Agente de Inteligencia,rare,RARE_055,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Etéreo,rare,RARE_035,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feitiçeira Jhenny,rare,RARE_021,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feitiçeira Morgana,rare,RARE_034,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feiticeira Scalet,rare,RARE_028,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Feitiçeira Sylvanna,rare,RARE_018,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Fleder,rare,RARE_024,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Garklain,rare,RARE_001,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
General Franz de Teméria,rare,RARE_054,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Heythan da Escola do Lobo,rare,RARE_060,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Hjalmar,rare,RARE_004,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ifrit,rare,RARE_026,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Jansen da Escola da Coruja,rare,RARE_053,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kikimora,rare,RARE_031,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Kraken,rare,RARE_022,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lagaz,rare,RARE_039,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Lamia,rare,EXTRA_RARE_06,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Mago Arminho,rare,RARE_019,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Morvim da Escola da Coruja,rare,RARE_029,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Morvudd,rare,RARE_041,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Nivellen,rare,RARE_014,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Orianna,rare,RARE_046,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Protofleders,rare,EXTRA_RARE_05,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Rience,rare,RARE_007,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Ronnan,rare,RARE_009,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Shaelmar,rare,RARE_016,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Sigrith Gowdie - A Bruxa,rare,RARE_056,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Súcubo,rare,RARE_040,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Sylvano,rare,RARE_044,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Thanatos da Escola da Víbora,rare,RARE_052,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Tordo,rare,RARE_032,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Trevor da Escola da Manticora,rare,RARE_058,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Troll de Gelo,rare,RARE_033,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Veneno a Mercenária,rare,RARE_049,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Venger o Mercenário,rare,RARE_057,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Verme de Areia,rare,RARE_013,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vernon Roche,rare,RARE_010,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Vivienne,rare,RARE_006,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Yrsa de Hindar,rare,RARE_025,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
Zoltan,rare,RARE_037,🔴 ALERTA: EFEITO NÃO ENCONTRADO NO SQL
